Code,Benchmark text
Communication – discussion: ELA.1.C.2.1,"Present information about a topic, using complete sentences, appropriate volume, and clear pronunciation. ​"
Communication – discussion: ELA.11.C.2.1 / ELA.12.C.2.1,"Initiate, lead, and evaluate collaborative discussions; integrate multiple sources."
Communication – discussion: ELA.2.C.2.1,"Present information orally using complete sentences, appropriate volume, and clear pronunciation. ​"
Communication – discussion: ELA.3.C.2.1,"Present information orally, sequencing ideas logically and using appropriate facts and descriptive details. ​"
Communication – discussion: ELA.4.C.2.1,"Present information orally, sequencing ideas logically and using appropriate facts and relevant details. ​"
Communication – discussion: ELA.5.C.2.1,"Present information orally using logical sequencing, appropriate details, and multimodal elements. ​"
Communication – discussion: ELA.6.C.2.1,"Present information orally in a logical sequence, using nonverbal cues, appropriate volume, and clear pronunciation. ​"
Communication – discussion: ELA.7.C.2.1,"Present information orally, emphasizing key points with appropriate tone and pacing. ​"
Communication – discussion: ELA.8.C.2.1,"Present information orally, in a logical sequence, supporting the central idea with credible evidence. ​"
Communication – discussion: ELA.9.C.2.1 / ELA.10.C.2.1,Initiate and participate effectively in collaborative discussions.
Reading – across genres: ELA.1.R.3.2,"Retell a text in oral or written form to enhance comprehension: a. Use main story elements at the beginning, middle, and end for a literary text; b. Use topic and important details for an informational text. ​"
Reading – across genres: ELA.11.R.3.3 / ELA.12.R.3.3,Evaluate how authors from different periods treat similar themes or topics. ​
Reading – across genres: ELA.2.R.3.2,Retell a text to enhance comprehension: a. Use plot structure and relevant details for a literary text; b. Use central idea and relevant details for an informational text. ​
Reading – across genres: ELA.3.R.3.2,Summarize a text to enhance comprehension.
Reading – across genres: ELA.4.R.3.2,Summarize a text to enhance comprehension.
Reading – across genres: ELA.4.R.3.3,Compare and contrast accounts of the same event using a primary and secondary source. ​
Reading – across genres: ELA.5.R.3.2,Summarize a text to enhance comprehension.
Reading – across genres: ELA.5.R.3.3,Compare and contrast how primary and secondary sources present information on the same topic. ​
Reading – across genres: ELA.6.R.3.1,Explain how figurative language contributes to tone and meaning in text(s). ​
Reading – across genres: ELA.6.R.3.2,Paraphrase content from grade‑level texts. ​
Reading – across genres: ELA.6.R.3.3,Compare and contrast how authors from different time periods address the same or related topics. ​
Reading – across genres: ELA.7.R.3.2,Summarize a text to enhance comprehension. ​
Reading – across genres: ELA.7.R.3.3,Compare and contrast how authors with differing perspectives address the same or related topics or themes. ​
Reading – across genres: ELA.8.R.3.2,Summarize a text to enhance comprehension. ​
Reading – across genres: ELA.8.R.3.3,Compare and contrast how authors address the same or related topics or themes.
Reading – across genres: ELA.9.R.3.3 / ELA.10.R.3.3,Compare and contrast how authors treat the same or similar topics.
Reading – informational: ELA.1.R.2.1,Identify the basic characteristics of familiar informational text. ​
Reading – informational: ELA.1.R.2.2,Identify the topic of and relevant details in a text. ​
Reading – informational: ELA.11.R.2.2 / ELA.12.R.2.2,Determine and evaluate central ideas; analyze their development and interaction.
Reading – informational: ELA.11.R.2.4 / ELA.12.R.2.4,"Evaluate an author’s argument, reasoning, and evidence."
Reading – informational: ELA.2.R.2.1,"Use text features, including title, headings, and visuals, to make and confirm predictions. ​"
Reading – informational: ELA.2.R.2.2,Identify the central idea and relevant details in a text. ​
Reading – informational: ELA.3.R.2.1,Use text features and search tools to locate information relevant to a given topic. ​
Reading – informational: ELA.3.R.2.2,Identify the central idea and explain how relevant details support that idea in a text. ​
Reading – informational: ELA.3.R.2.4,Identify an author’s claim and explain how an author uses evidence to support the claim. ​
Reading – informational: ELA.4.R.2.1,"Explain how relevant details support the central idea, implied or explicit. ​"
Reading – informational: ELA.4.R.2.4,Explain an author’s claim and the reasons and evidence used to support the claim. ​
Reading – informational: ELA.5.R.2.2,"Explain how relevant details support the central idea(s), implied or explicit. ​"
Reading – informational: ELA.5.R.2.4,"Track the development of an argument, identifying the specific claim(s), evidence, and reasoning. ​"
Reading – informational: ELA.6.R.2.1,Explain how individual text sections and/or features convey meaning in texts. ​
Reading – informational: ELA.6.R.2.2,"Analyze the central idea(s), implied or explicit, and its development throughout a text. ​"
Reading – informational: ELA.6.R.2.3,Analyze authors’ purpose(s) in multiple accounts of the same event or topic.
Reading – informational: ELA.7.R.2.1,Explain how individual text sections and/or features convey a purpose in texts. ​
Reading – informational: ELA.7.R.2.2,Compare two or more central ideas and their development throughout a text. ​
Reading – informational: ELA.7.R.2.3,Explain how an author establishes and achieves purpose(s) through diction and syntax. ​
Reading – informational: ELA.8.R.2.1,Analyze how individual text sections and/or features convey a purpose and/or meaning in texts.
Reading – informational: ELA.8.R.2.2,Analyze two or more central ideas and their development throughout a text. ​
Reading – informational: ELA.8.R.2.3,Explain how an author establishes and achieves purpose(s) through rhetorical appeals and/or figurative language.
Reading – informational: ELA.8.R.2.4,"Track the development of an argument, analyzing the types of reasoning used and their effectiveness."
Reading – informational: ELA.9.R.2.2 / ELA.10.R.2.2,Determine central ideas of complex texts and analyze their development.
Reading – informational: ELA.9.R.2.4 / ELA.10.R.2.4,Track development of an argument and evaluate reasoning.
Reading – prose/poetry: ELA.1.R.1.1,Identify and describe the main story elements in a story.
Reading – prose/poetry: ELA.1.R.1.2,Identify and explain the moral of a story. ​
Reading – prose/poetry: ELA.11.R.1.1 / ELA.12.R.1.1,Evaluate how key elements enhance or add layers of meaning and/or style in a literary text. ​
Reading – prose/poetry: ELA.11.R.1.2 / ELA.12.R.1.2,Analyze two or more themes and evaluate their development.
Reading – prose/poetry: ELA.2.R.1.1,Identify plot structure and describe main story elements in a literary text. cpalms
Reading – prose/poetry: ELA.2.R.1.2,Identify and explain a theme of a literary text. ​
Reading – prose/poetry: ELA.2.R.1.3,Explain how one or more characters develop throughout the plot in a literary text. ​
Reading – prose/poetry: ELA.3.R.1.1,Explain how one or more characters develop throughout the plot in a literary text. 
Reading – prose/poetry: ELA.3.R.1.2,"Explain a theme and how it develops, using details, in a literary text. ​"
Reading – prose/poetry: ELA.3.R.1.3,"Describe how an author develops setting, events, and plot. ​"
Reading – prose/poetry: ELA.4.R.1.1,"Analyze how setting, events, conflict, and characterization contribute to the plot in a literary text. ​"
Reading – prose/poetry: ELA.4.R.1.2,"Explain a stated or implied theme and how it develops, using details, in a literary text. ​"
Reading – prose/poetry: ELA.5.R.1.1,"Analyze how setting, events, conflict, and characterization contribute to the plot in a literary text. ​"
Reading – prose/poetry: ELA.5.R.1.2,Explain the development of stated or implied theme(s) throughout a literary text. ​
Reading – prose/poetry: ELA.6.R.1.1,Analyze how the interaction between characters contributes to the development of a plot in a literary text.
Reading – prose/poetry: ELA.6.R.1.2,Analyze the development of stated or implied theme(s) throughout a literary text. ​
Reading – prose/poetry: ELA.7.R.1.1,Analyze the impact of setting on character development and plot in a literary text.
Reading – prose/poetry: ELA.7.R.1.2,Compare two or more themes and their development throughout a literary text. ​
Reading – prose/poetry: ELA.8.R.1.1,"Analyze the interaction between character development, setting, and plot in a literary text. "
Reading – prose/poetry: ELA.8.R.1.2,Analyze two or more themes and their development throughout a literary text. ​
Reading – prose/poetry: ELA.9.R.1.1 / ELA.10.R.1.1,Analyze how key literary elements and structural choices contribute to meaning.
Reading – prose/poetry: ELA.9.R.1.2 / ELA.10.R.1.2,Analyze how multiple themes develop and interact.
Research: ELA.11.C.4.1 / ELA.12.C.4.1,Conduct sustained research projects; synthesize multiple authoritative sources.
Research: ELA.4.C.4.x,"Conduct research to answer a question, drawing on multiple sources. ​"
Research: ELA.5.C.4.x,"Conduct research to answer a question, drawing on several sources and summarizing the information. ​"
Research: ELA.6.C.4.x,"Conduct research to answer a question, drawing on multiple sources and refocusing the inquiry when appropriate. ​"
Research: ELA.7.C.4.x,"Conduct research to answer a question, drawing on several sources and generating additional questions. ​"
Research: ELA.8.C.4.1,"Conduct research to answer a question, drawing on multiple reliable and valid sources, and generating additional questions for further research. ​"
Research: ELA.9.C.4.1 / ELA.10.C.4.1,Conduct research projects to answer a question or solve a problem; synthesize multiple sources.
Vocabulary: ELA.1.V.1.1,Use grade‑level academic vocabulary appropriately in speaking and writing. ​
Vocabulary: ELA.11.V.1.x / ELA.12.V.1.x,Interpret nuances in word meanings; evaluate impact of word choice on meaning and tone.
Vocabulary: ELA.2.V.1.1,Use grade‑level academic vocabulary appropriately in speaking and writing. ​
Vocabulary: ELA.3.V.1.1,"Use context clues, word relationships, and reference materials to determine the meaning of unknown words. ​"
Vocabulary: ELA.4.V.1.1,"Use context clues, Greek and Latin roots and affixes, and reference materials to determine word meaning. ​"
Vocabulary: ELA.5.V.1.1,"Use context clues, word relationships, and reference materials to determine the meaning of unknown words. ​"
Vocabulary: ELA.6.V.1.x,"Use Greek and Latin roots and affixes, context clues, and reference materials to determine word meaning. ​"
Vocabulary: ELA.7.V.1.x,"Use context clues, word relationships, and reference materials to determine the meaning of unfamiliar words. ​"
Vocabulary: ELA.8.V.1.1,Integrate academic vocabulary appropriate to grade level in speaking and writing. ​
Vocabulary: ELA.8.V.1.2,Apply knowledge of Greek and Latin roots and affixes to determine meanings of words and phrases. ​
Vocabulary: ELA.8.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, and reference materials to determine meaning of words and phrases. ​"
Vocabulary: ELA.9.V.1.x / ELA.10.V.1.x,"Interpret figurative, connotative, and technical meanings; analyze word choice impact."
Writing – argument: ELA.11.C.1.3 / ELA.12.C.1.3,"Write arguments with precise claims, addressing counterclaims thoroughly."
Writing – argument: ELA.6.C.1.x,Write arguments to support claims with clear reasons and relevant evidence.
Writing – argument: ELA.7.C.1.x,"Write arguments with clear claims, reasons, and evidence, acknowledging opposing claims."
Writing – argument: ELA.8.C.1.x,"Write arguments to support claims with clear reasons and relevant evidence, acknowledging opposing claims."
Writing – argument: ELA.9.C.1.3 / ELA.10.C.1.3,"Write arguments to support claims with valid reasoning and relevant evidence, addressing counterclaims."
Writing – informative: ELA.11.C.1.4 / ELA.12.C.1.4,Write informative texts that convey complex ideas clearly and effectively.
Writing – informative: ELA.6.C.1.x,Write informative/explanatory texts to examine a topic and convey ideas clearly.
Writing – informative: ELA.7.C.1.x,"Write informative texts to examine a topic and convey ideas, concepts, and information through selection and organization."
Writing – informative: ELA.8.C.1.x,"Write informative/explanatory texts that examine a topic and convey ideas, concepts, and information."
Writing – informative: ELA.9.C.1.4 / ELA.10.C.1.4,Write informative texts that analyze complex ideas or topics.
Writing – opinion/inf.: ELA.1.C.1.x,"Write opinions and explanatory pieces using a topic, some facts, and closure. ​"
Writing – opinion/inf.: ELA.2.C.1.x,Write opinion and informative texts with reasons or facts and a concluding statement. ​
Writing – opinion/inf.: ELA.3.C.1.x,"Write opinion and informative texts with organized paragraphs, reasons or facts, and a conclusion. ​"
Writing – opinion/inf.: ELA.4.C.1.x,"Write opinion and informative texts with clear organization, transitions, and supporting details. ​"
Writing – opinion/inf.: ELA.5.C.1.x,Write opinion and informative texts with logically ordered reasons or facts and a clear conclusion. ​