Subject,Key Chapter,StartVerse,EndVerse,Posnack Learning Goals (TBD)
Joshua,1,1,9,The LORD commissions Joshua; be strong and courageous
Joshua,1,10,15,Joshua commands officers and reminds the Transjordan tribes of their duty
Joshua,1,16,18,People pledge obedience to Joshua and echo 'be strong and courageous'
Joshua,2,1,7,Joshua sends two spies to Jericho; they lodge with Rahab
Joshua,2,8,14,"Rahab hides the spies, confesses faith in Israel’s God, and secures a pledge"
Joshua,2,15,21,Rahab helps them escape; scarlet cord as sign
Joshua,2,22,24,"Spies report back: the LORD has given the land, people are melting with fear"
Joshua,3,1,6,Israel moves from Shittim to the Jordan; officers’ instructions; priests to carry the ark
Joshua,3,7,13,The LORD exalts Joshua; promise that Jordan will be cut off
Joshua,3,14,17,Priests’ feet touch the water; Jordan stops; people cross on dry ground
Joshua,4,1,7,Twelve men take twelve stones from the river as a memorial
Joshua,4,8,14,Stones set up; Joshua exalted in the sight of all Israel
Joshua,4,15,18,Priests come up from the Jordan; waters return to their place
Joshua,4,19,24,Memorial at Gilgal explained to future generations
Joshua,5,1,1,Canaanite kings’ hearts melt on hearing of the Jordan crossing
Joshua,5,2,9,Second circumcision at Gilgal; reproach of Egypt rolled away
Joshua,5,10,12,Israel keeps Passover and eats the produce of the land; manna ceases
Joshua,5,13,15,Joshua meets the commander of the LORD’s army
Joshua,6,1,5,The LORD’s instructions for Jericho’s conquest with trumpets and marching
Joshua,6,6,11,First six days: daily march around Jericho with the ark and trumpets
Joshua,6,12,21,Seventh day: seven circuits; shout; walls fall; city devoted to destruction
Joshua,6,22,25,Rahab and her household spared and settled among Israel
Joshua,6,26,27,Joshua’s curse on rebuilding Jericho; the LORD is with Joshua
Joshua,7,1,5,Achan’s sin; Israel’s defeat at Ai
Joshua,7,6,9,Joshua and elders mourn and question the LORD
Joshua,7,10,15,The LORD reveals hidden sin as the cause of defeat
Joshua,7,16,23,Tribal selection exposes Achan; stolen items found
Joshua,7,24,26,Achan and what belonged to him destroyed in the Valley of Achor
Joshua,8,1,2,The LORD encourages Joshua; strategy for taking Ai
Joshua,8,3,13,Joshua sets ambush behind Ai; forces arranged
Joshua,8,14,23,"Feigned retreat, signal with javelin, ambush rises; Ai captured"
Joshua,8,24,29,City and inhabitants destroyed; king of Ai executed
Joshua,8,30,35,Altar on Mount Ebal; law written on stones; blessings and curses read
Joshua,9,1,2,Canaanite kings unite to fight Israel
Joshua,9,3,15,Gibeonites’ deception as distant travelers; Israel makes a covenant without consulting the LORD
Joshua,9,16,21,Deception discovered; Gibeonites spared but made woodcutters and water carriers
Joshua,9,22,27,Joshua confronts Gibeon; their explanation; covenant upheld
Joshua,10,1,5,Five Amorite kings form alliance and attack Gibeon
Joshua,10,6,11,Joshua marches overnight; surprise attack; hailstones from heaven
Joshua,10,12,15,Sun and moon stand still at Joshua’s request until victory is complete
Joshua,10,16,21,Five kings hide in a cave at Makkedah; cave sealed during battle
Joshua,10,22,27,"Kings brought out, humiliated, killed, and hung; cave sealed with stones"
Joshua,10,28,39,"Conquest of southern cities: Makkedah, Libnah, Lachish, Eglon, Hebron, Debir"
Joshua,10,40,43,Summary: Joshua defeats all the south; LORD fights for Israel
Joshua,11,1,5,Northern kings under Jabin of Hazor form large coalition
Joshua,11,6,9,"The LORD tells Joshua not to fear; horses hamstrung, chariots burned"
Joshua,11,10,15,Hazor taken and burned; other cities not burned; Joshua obeys as commanded
Joshua,11,16,20,Summary of lands taken and long war with many kings
Joshua,11,21,23,Anakim destroyed from hill country; land rests from war
Joshua,12,1,6,Summary of kings defeated by Moses east of the Jordan
Joshua,12,7,24,List of thirty-one kings defeated by Joshua west of the Jordan
Joshua,13,1,7,Joshua old; large areas remain; LORD instructs him to apportion remaining land
Joshua,13,8,14,"Review of land east of the Jordan given by Moses to Reuben, Gad, and half-Manasseh"
Joshua,13,15,23,Territory allotted to the tribe of Reuben east of the Jordan
Joshua,13,24,28,Territory allotted to the tribe of Gad east of the Jordan
Joshua,13,29,33,Territory allotted to the half-tribe of Manasseh east of the Jordan; Levites receive no land
Joshua,14,1,5,"Introduction to the distribution of land in Canaan by Eleazar, Joshua, and tribal heads"
Joshua,14,6,12,Caleb requests Hebron based on Moses’ promise for his faithfulness
Joshua,14,13,15,Joshua blesses Caleb; Hebron given as his inheritance
Joshua,15,1,12,Description of the southern boundary of Judah’s territory
Joshua,15,13,19,Caleb receives Hebron and Debir; Achsah asks for and receives springs
Joshua,15,20,32,List of towns in the Negev for the tribe of Judah
Joshua,15,33,47,List of towns in the Shephelah (lowland) of Judah
Joshua,15,48,60,List of towns in the hill country of Judah
Joshua,15,61,63,List of towns in the wilderness; Jebusites remain in Jerusalem
Joshua,16,1,4,General territory of the sons of Joseph (Ephraim and Manasseh)
Joshua,16,5,10,Specific borders and towns of Ephraim; Canaanites remain in Gezer under forced labor
Joshua,17,1,6,"Allotment for Manasseh, including Zelophehad’s daughters receiving an inheritance"
Joshua,17,7,13,Manasseh’s territory described; Canaanites not fully driven out
Joshua,17,14,18,Complaint of Joseph’s tribes about land size; Joshua urges them to clear the hill country
Joshua,18,1,7,Tent of meeting set up at Shiloh; remaining land still to be allotted
Joshua,18,8,10,Joshua sends men to survey the land into seven parts; lots to be cast at Shiloh
Joshua,18,11,20,Lot for Benjamin; description of Benjamin’s northern and southern boundaries
Joshua,18,21,28,"List of Benjamin’s cities, including Jerusalem, Gibeon, Mizpah, and others"
Joshua,19,1,9,Second lot: Simeon’s inheritance within Judah’s territory
Joshua,19,10,16,Third lot: Zebulun’s territory and its border towns
Joshua,19,17,23,Fourth lot: Issachar’s territory and its cities
Joshua,19,24,31,Fifth lot: Asher’s territory and its cities
Joshua,19,32,39,Sixth lot: Naphtali’s territory and its cities
Joshua,19,40,48,Seventh lot: Dan’s territory; mention of capturing Leshem (Laish)
Joshua,19,49,51,Joshua receives Timnath-serah as his own inheritance; summary of finished allotment at Shiloh
Joshua,20,1,6,Command and designation of cities of refuge for accidental killers
Joshua,20,7,9,List of six cities of refuge—three west and three east of the Jordan
Joshua,21,1,8,Levite leaders request towns; command to give them cities with pasturelands
Joshua,21,9,19,"Cities given to the priests, descendants of Aaron, from Judah, Simeon, and Benjamin"
Joshua,21,20,26,"Cities for the rest of the Kohathites from Ephraim, Dan, and half-Manasseh"
Joshua,21,27,33,"Cities for the Gershonites from Issachar, Asher, Naphtali, and half-Manasseh in Bashan"
Joshua,21,34,40,"Cities for the Merarites from Zebulun, Reuben, and Gad"
Joshua,21,41,42,Total of forty-eight Levitical cities with pasturelands
Joshua,21,43,45,Summary: the LORD gave Israel all the land and rest; all promises fulfilled
Joshua,22,1,6,Joshua commends the Transjordan tribes for their faithfulness and sends them home with blessing
Joshua,22,7,9,"Return of Reuben, Gad, and half-Manasseh to their lands with great wealth"
Joshua,22,10,14,Transjordan tribes build a large altar by the Jordan; news reaches the other Israelites
Joshua,22,15,20,"Delegation led by Phinehas confronts them, fearing rebellion like Peor and Achan"
Joshua,22,21,29,"Transjordan tribes explain the altar is a witness, not for sacrifices"
Joshua,22,30,34,Phinehas and leaders accept the explanation; altar named as witness between them
Joshua,23,1,5,"Joshua, old and advanced in years, reminds Israel of what the LORD has done and remaining nations"
Joshua,23,6,11,"Call to be very strong to keep the law, avoid other gods, and cling to the LORD"
Joshua,23,12,16,Warning: mixing with nations and serving their gods will bring loss of the land and destruction
Joshua,24,1,13,Assembly at Shechem; historical review from Abraham to the conquest
Joshua,24,14,18,Joshua exhorts Israel to fear the LORD and serve Him alone; people affirm allegiance
Joshua,24,19,24,Joshua warns of the LORD’s holiness and jealousy; people insist on serving the LORD
Joshua,24,25,28,"Joshua makes a covenant, sets up a stone as witness, and records it"
Joshua,24,29,31,Death and burial of Joshua; Israel serves the LORD in his days and the elders’ days
Joshua,24,32,33,Burial of Joseph’s bones at Shechem; death and burial of Eleazar
Judges,1,1,7,"After Joshua’s death, Judah and Simeon begin taking their allotted territory"
Judges,1,8,15,"Capture of Jerusalem, Hebron, Debir; story of Othniel and Achsah reiterated"
Judges,1,16,21,Kenites settle; southern campaigns; some Canaanites left in Gezer
Judges,1,22,26,House of Joseph takes Bethel with help from a local man
Judges,1,27,36,Incomplete conquests: tribes fail to drive out various Canaanite groups
Judges,2,1,5,Angel of the LORD rebukes Israel at Bochim for failing to tear down altars
Judges,2,6,10,"Transition from Joshua’s generation to the next, which does not know the LORD"
Judges,2,11,19,"Cycle introduced: sin, oppression, judges raised up, partial reform, relapse"
Judges,2,20,23,The LORD leaves nations to test Israel’s obedience
Judges,3,1,6,Nations left to test Israel; intermarriage and idolatry described
Judges,3,7,11,Othniel delivers Israel from Cushan‑Rishathaim; land has rest
Judges,3,12,30,Ehud delivers Israel from Moab; assassination of Eglon; long rest
Judges,3,31,31,Shamgar strikes down Philistines with an oxgoad
Judges,4,1,3,Israel does evil after Ehud; the LORD sells them to Jabin king of Canaan and Sisera with 900 iron chariots
Judges,4,4,7,Deborah the prophetess judges Israel; she summons Barak and conveys the LORD’s command to gather at Mount Tabor
Judges,4,8,10,Barak insists Deborah go with him; she agrees but foretells honor will go to a woman; they muster ten thousand
Judges,4,11,11,Parenthetical note about Heber the Kenite who had separated from his clan
Judges,4,12,16,Sisera musters chariots; Deborah gives the signal; the LORD routes Sisera and his army before Barak
Judges,4,17,21,"Sisera flees to Jael’s tent; she welcomes him, then kills him with a tent peg as he sleeps"
Judges,4,22,24,Barak arrives; Jael shows him Sisera dead; God subdues Jabin and Israel grows stronger until he is destroyed
Judges,5,1,5,Deborah and Barak sing; blessing the LORD when leaders lead and people volunteer; God’s majestic march
Judges,5,6,11,Description of Israel’s distress before Deborah; praise for those who willingly offered themselves
Judges,5,12,18,"Call to awake, Deborah; rallying of tribes; commendation of tribes who came, rebuke of those who stayed away"
Judges,5,19,23,Kings of Canaan fought; stars and torrent Kishon fight against Sisera; curse on Meroz for not helping
Judges,5,24,27,Jael praised above women; vivid description of Sisera’s death in her tent
Judges,5,28,30,Sisera’s mother waits and speculates; attendants imagine plunder and captive women
Judges,5,31,31,Prayer that the LORD’s enemies perish and lovers be like the rising sun; land has rest forty years
Judges,6,1,6,Israel does evil; the LORD gives them into Midian’s hand; Midian devastates the land and Israel cries out
Judges,6,7,10,Prophet sent to remind Israel of God’s deliverance from Egypt and their disobedience
Judges,6,11,18,Angel of the LORD appears to Gideon; calls him ‘mighty warrior’; Gideon questions and asks for a sign
Judges,6,19,24,Gideon offers food; fire consumes the offering; Gideon fears but receives peace; altar named 'The LORD is Peace'
Judges,6,25,27,Gideon commanded to tear down Baal’s altar and Asherah pole; he obeys by night
Judges,6,28,32,Men of the town seek Gideon’s death; Joash defends him; Gideon nicknamed Jerubbaal
Judges,6,33,35,Midianites and allies gather; Spirit of the LORD comes on Gideon; he blows the trumpet and summons tribes
Judges,6,36,40,"Gideon asks for confirmation with the fleece signs; dew on fleece only, then dew on ground only"
Judges,7,1,3,Gideon and his men camp; the LORD says the army is too large; fearful are sent home
Judges,7,4,8,Water test reduces the army to three hundred; others sent home; Gideon keeps the three hundred
Judges,7,9,15,God sends Gideon to overhear a Midianite’s dream and its interpretation; Gideon worships and returns to rally
Judges,7,16,18,"Gideon divides the three hundred into three companies; gives trumpets, jars, and torches; battle plan explained"
Judges,7,19,22,"At the watch change they blow trumpets, break jars, shout; LORD sets Midianites against each other; they flee"
Judges,7,23,25,Israelites from other tribes called to pursue; Ephraim captures and kills Oreb and Zeeb; heads brought to Gideon
Judges,8,1,3,Ephraim complains about not being called earlier; Gideon appeases them with gentle answer
Judges,8,4,9,Gideon pursues kings Zebah and Zalmunna; Succoth and Penuel refuse aid; Gideon threatens discipline
Judges,8,10,12,Gideon surprises the remaining Midianite army and captures Zebah and Zalmunna
Judges,8,13,17,Gideon returns; punishes Succoth’s elders with thorns and destroys Penuel’s tower
Judges,8,18,21,Gideon questions the captured kings about killing his brothers; he executes Zebah and Zalmunna
Judges,8,22,23,"Israel asks Gideon to rule as king; he refuses, affirming the LORD as ruler"
Judges,8,24,28,Gideon makes an ephod from spoils; Israel prostitutes itself after it; Midian subdued; land has rest forty years
Judges,8,29,32,Gideon’s household and many sons; death of Gideon and his burial
Judges,8,33,35,After Gideon’s death Israel returns to Baal worship and forgets the LORD and Gideon’s kindness
Judges,9,1,6,"Abimelech goes to Shechem, persuades his mother’s relatives, and is funded to seek rule"
Judges,9,7,15,Jotham’s parable from Mount Gerizim about the trees and the bramble
Judges,9,16,21,"Jotham applies the parable, calls for judgment on Abimelech and Shechem, then flees"
Judges,9,22,25,God sends an evil spirit between Abimelech and Shechem; Shechemites set ambushes
Judges,9,26,33,Gaal son of Ebed arrives; stirs rebellion in Shechem; Zebul informs Abimelech
Judges,9,34,41,Abimelech’s night ambush; Gaal driven out; Abimelech stays at Arumah
Judges,9,42,45,"Abimelech attacks Shechem, kills people, and destroys the city, sowing it with salt"
Judges,9,46,49,Abimelech and men burn the tower of Shechem; about a thousand die
Judges,9,50,55,Abimelech attacks Thebez; a woman drops a millstone on his head; he dies by his armor-bearer
Judges,9,56,57,Summary: God repays Abimelech and men of Shechem for their wickedness
Judges,10,1,2,Tola of Issachar rises to save Israel; judges for twenty-three years
Judges,10,3,5,"Jair the Gileadite judges for twenty-two years; thirty sons, thirty towns in Gilead"
Judges,10,6,9,Israel again serves many foreign gods; LORD’s anger; oppression by Philistines and Ammonites
Judges,10,10,14,Israel cries out; the LORD recounts past deliverances and tells them to cry to their chosen gods
Judges,10,15,18,Israel puts away foreign gods; Ammon camps in Gilead; leaders seek someone to lead them
Judges,11,1,3,"Jephthah the Gileadite introduced as a mighty warrior, son of a prostitute, driven away by half-brothers"
Judges,11,4,11,Elders of Gilead call Jephthah to lead against Ammon; he agrees under condition of leadership
Judges,11,12,28,Jephthah’s negotiations with the king of Ammon; historical argument for Israel’s right to the land
Judges,11,29,31,Spirit of the LORD comes upon Jephthah; he makes a vow before battle
Judges,11,32,33,Jephthah defeats the Ammonites with a great slaughter
Judges,11,34,40,Jephthah’s daughter meets him; fulfillment of the vow; she laments her virginity; custom in Israel
Judges,12,1,3,Ephraim confronts Jephthah angrily for not calling them to fight Ammon; threatens to burn his house
Judges,12,4,7,Jephthah’s reply and battle with Ephraim; Gileadites seize fords and slay fugitives by 'Shibboleth' test; Jephthah’s death
Judges,12,8,10,Brief notice of Ibzan of Bethlehem judging Israel and his many sons and daughters
Judges,12,11,12,Brief notice of Elon the Zebulunite judging Israel ten years
Judges,12,13,15,Brief notice of Abdon son of Hillel with many sons and grandsons; his death and burial
Judges,13,1,5,Israel again does evil; the LORD gives them into Philistine hand; angel appears to barren woman promising a Nazirite son
Judges,13,6,7,Woman reports the angel’s message to Manoah
Judges,13,8,14,Manoah prays; angel returns; instructions about Nazirite separation repeated
Judges,13,15,20,Manoah offers hospitality; realizes it is the angel of the LORD after the offering ascends in the flame
Judges,13,21,23,Manoah fears death for seeing God; his wife reassures him based on God’s acceptance of the offering
Judges,13,24,25,"Birth of Samson; he grows, the LORD blesses him, and the Spirit begins to stir him"
Judges,14,1,4,Samson desires a Philistine woman at Timnah; parents object; note that this is from the LORD seeking an occasion against Philistines
Judges,14,5,9,Samson kills a lion with his bare hands; later finds honey in the carcass and shares it without telling the source
Judges,14,10,14,Wedding feast; Samson poses a riddle to thirty companions based on the lion and honey
Judges,14,15,18,Philistines pressure Samson’s wife to extract the answer; Samson’s anger when they solve the riddle
Judges,14,19,20,Spirit of the LORD comes on Samson; he strikes down thirty men of Ashkelon; wife given to his companion
Judges,15,1,3,Samson visits his wife; discovers she has been given to his companion; he vows revenge on Philistines
Judges,15,4,8,Samson burns Philistine grain with foxes and torches; Philistines burn his wife and her father; Samson strikes them down
Judges,15,9,13,Philistines camp against Judah; three thousand men of Judah bind Samson to hand him over
Judges,15,14,17,Ropes fall from his hands; Samson kills a thousand men with a donkey’s jawbone
Judges,15,18,20,Samson cries out for water; God provides from a hollow place; Samson judges Israel twenty years
Judges,16,1,3,"Samson goes to Gaza, visits a prostitute; escapes by carrying away city gates"
Judges,16,4,9,Samson loves Delilah; Philistine lords bribe her; first attempts to discover his strength (seven bowstrings)
Judges,16,10,14,Delilah’s second and third attempts with new ropes and weaving his hair; Samson still breaks free
Judges,16,15,17,Delilah presses Samson daily; he finally reveals his Nazirite secret about his hair
Judges,16,18,21,"Delilah has his hair cut; LORD departs; Samson seized, eyes put out, and imprisoned grinding grain"
Judges,16,22,25,Samson’s hair begins to grow; Philistine lords gather in Dagon’s temple to celebrate
Judges,16,26,30,"Samson prays for strength; pushes the pillars; temple collapses, killing more in his death than in his life"
Judges,16,31,31,Siblings retrieve Samson’s body and bury him between Zorah and Eshtaol after twenty years of judging Israel
Judges,17,1,6,Micah returns stolen silver to his mother; they dedicate it but use it to make an idol and private shrine
Judges,17,7,10,A young Levite from Bethlehem in Judah comes traveling; Micah invites him to stay as priest
Judges,17,11,13,Levite agrees to live with Micah as priest; Micah assumes the LORD will bless him because he has a Levite
Judges,18,1,6,"In days without a king, Danites seek territory; spies lodge at Micah’s house and learn of his Levite priest"
Judges,18,7,10,"Spies report a quiet, unsuspecting people in Laish; encourage taking the land"
Judges,18,11,20,"Six hundred Danites set out; they take Micah’s idol, ephod, and household gods; persuade Levite to join them"
Judges,18,21,26,Micah pursues the Danites but cannot recover his gods and priest; he returns home
Judges,18,27,31,"Danites capture and burn Laish, rebuild it as Dan, set up the idol; Jonathan son of Gershom and descendants serve as priests"
Judges,19,1,4,A Levite from Ephraim takes a concubine from Bethlehem; she leaves him and returns to her father’s house
Judges,19,5,10,Levite goes to retrieve her; warmly received; delayed several days by hospitable father-in-law
Judges,19,11,15,They depart late; refuse to stay in Jebus; decide to lodge in Gibeah of Benjamin
Judges,19,16,21,Old man offers hospitality in Gibeah when others will not
Judges,19,22,26,Men of the city surround house demanding the Levite; concubine given over; abused all night; collapses at door
Judges,19,27,30,"Levite finds her at the door, takes her body home, cuts her into twelve pieces, and sends them throughout Israel"
Judges,20,1,7,All Israel gathers at Mizpah; hear the Levite’s account; united resolve to act against Gibeah
Judges,20,8,13,Israel swears not to go home until justice done; demand Benjamin hand over the wicked men; Benjamin refuses
Judges,20,14,17,Benjamin musters its fighting men; Israel’s forces counted
Judges,20,18,23,First battle: Israel inquires of God; goes up; suffers heavy losses
Judges,20,24,28,Second battle: again inquires; again defeated; further weeping and inquiry before the LORD
Judges,20,29,36,Third battle: ambush set; LORD gives Benjamin into Israel’s hand; turning of the battle signaled by smoke
Judges,20,37,48,"Benjamin routed; cities, people, and animals of Benjamin destroyed; only 600 men escape to rock of Rimmon"
Judges,21,1,7,Israel laments that a tribe is cut off; recall oath not to give daughters to Benjamin
Judges,21,8,12,Inquiry at Bethel; discovery that Jabesh Gilead did not come; they strike the city and take virgin women
Judges,21,13,18,Benjamin invited back; women of Jabesh given; still not enough; concern for preserving a tribe
Judges,21,19,23,Plan for Benjamites to seize wives from the dances at Shiloh to avoid oath violation
Judges,21,24,25,Benjamites return to their inheritance; final note that there was no king in Israel and all did what was right in their own eyes
Ruth,1,1,5,Naomi’s family leaves Bethlehem for Moab; Elimelech dies; Mahlon and Chilion marry Moabite women and then die
Ruth,1,6,9,Naomi hears the LORD has visited His people; sets out from Moab with her daughters-in-law
Ruth,1,10,14,"Naomi urges them to return to their own mothers’ houses; Orpah kisses her goodbye, Ruth clings to her"
Ruth,1,15,18,"Ruth’s pledge to Naomi: your people my people, your God my God; they go on together to Bethlehem"
Ruth,1,19,22,"Arrival in Bethlehem; Naomi asks to be called Mara, saying the Almighty has dealt bitterly; Ruth the Moabitess returns at barley harvest"
Ruth,2,1,3,Naomi has a relative named Boaz; Ruth asks permission to glean in the fields and ‘happens’ to come to Boaz’s field
Ruth,2,4,9,"Boaz arrives, learns who she is, and instructs her to stay in his fields with his maidens and drink from his men’s water jars"
Ruth,2,10,13,Ruth’s humility and surprise at his favor; Boaz commends her for her kindness to Naomi and prays for the LORD’s reward
Ruth,2,14,17,Boaz invites her to eat; orders extra grain left for her; Ruth gleans abundantly until evening
Ruth,2,18,23,Ruth reports to Naomi; Naomi recognizes Boaz as a close relative and blesses the LORD; Ruth continues in Boaz’s fields through harvests
Ruth,3,1,5,"Naomi instructs Ruth to wash, anoint, dress, and go to Boaz at the threshing floor to seek marriage as kinsman-redeemer"
Ruth,3,6,9,"Ruth follows instructions, uncovers Boaz’s feet; he awakens; she asks him to spread his cloak over her as redeemer"
Ruth,3,10,13,Boaz blesses her for seeking him rather than younger men; notes there is a nearer redeemer; promises to settle the matter
Ruth,3,14,18,Ruth leaves before dawn with barley; Naomi interprets Boaz’s actions as assurance he will not rest until resolved
Ruth,4,1,4,Boaz meets the nearer kinsman at the gate and brings elders; presents the opportunity to redeem Naomi’s land
Ruth,4,5,8,Boaz adds that redeeming includes taking Ruth as wife; nearer kinsman declines; removes sandal to confirm transfer
Ruth,4,9,12,Boaz publicly declares he has acquired the land and Ruth as wife; elders bless him with fruitfulness and renown
Ruth,4,13,17,Marriage of Boaz and Ruth; birth of Obed; Naomi cared for; women praise the LORD; Obed named and placed in Naomi’s lap
Ruth,4,18,22,"Genealogy from Perez to David, including Boaz, Obed, and Jesse"
1 Samuel,1,1,8,Elkanah’s family introduced; Hannah is barren and provoked by Peninnah; annual worship at Shiloh
1 Samuel,1,9,18,"Hannah’s anguished prayer for a son and vow; Eli first misjudges, then blesses her; she departs in peace"
1 Samuel,1,19,23,The LORD remembers Hannah; Samuel is born and weaned; Hannah prepares to fulfill her vow
1 Samuel,1,24,28,Hannah presents young Samuel to Eli at Shiloh as dedicated to the LORD for life
1 Samuel,2,1,10,Hannah’s prayer/song exalting the LORD’s holiness and reversal of fortunes
1 Samuel,2,11,21,Samuel ministers before the LORD; contrast with Eli’s sons; Hannah’s further children; Samuel grows
1 Samuel,2,22,26,Eli hears of his sons’ wickedness with offerings and women; rebukes them; Samuel continues to grow in favor
1 Samuel,2,27,36,"Man of God prophesies judgment on Eli’s house: loss of priesthood, death of sons, and a faithful priest to come"
1 Samuel,3,1,3,Word of the LORD rare; Samuel ministers to the LORD; Eli’s eyes dim
1 Samuel,3,4,10,"The LORD calls Samuel three times; Eli realizes it is the LORD; Samuel responds, 'Speak, for your servant is listening'"
1 Samuel,3,11,18,Message of judgment against Eli’s house given to Samuel; Eli insists to hear and accepts the word
1 Samuel,3,19,21,Samuel grows; LORD is with him; all Israel recognizes him as prophet; word of the LORD continues at Shiloh
1 Samuel,4,1,4,Israel defeated by Philistines; elders decide to bring the ark from Shiloh
1 Samuel,4,5,11,Ark arrives; great shout; Philistines fear but fight; Israel defeated; Hophni and Phinehas killed; ark captured
1 Samuel,4,12,18,Runner brings news; Eli falls backward and dies upon hearing of ark’s capture
1 Samuel,4,19,22,Phinehas’ wife gives birth to Ichabod; declares 'the glory has departed from Israel'
1 Samuel,5,1,5,Philistines place the ark in Dagon’s temple; Dagon falls before the ark
1 Samuel,5,6,12,"LORD’s hand heavy on Ashdod, then Gath and Ekron; tumors and panic; desire to move the ark from Philistine territory"
1 Samuel,6,1,9,Philistine priests advise sending ark back with guilt offerings and test to see if plague is from the LORD
1 Samuel,6,10,16,Ark returned on a new cart to Beth Shemesh; people rejoice and offer sacrifices
1 Samuel,6,17,21,Gold offerings listed; LORD strikes some men of Beth Shemesh; ark sent on to Kiriath Jearim
1 Samuel,7,1,2,Ark brought to house of Abinadab; consecration of Eleazar; long lamenting after the LORD
1 Samuel,7,3,6,Samuel calls Israel to put away foreign gods and serve the LORD only; assembly at Mizpah with confession and fasting
1 Samuel,7,7,11,Philistines attack; Samuel cries to the LORD; LORD thunders against them; Israel pursues and defeats them
1 Samuel,7,12,14,Samuel sets up Ebenezer stone; LORD’s hand against Philistines; cities restored to Israel
1 Samuel,7,15,17,Summary of Samuel’s judging; yearly circuit and home base at Ramah
1 Samuel,8,1,3,Samuel’s sons appointed as judges but walk in unjust ways
1 Samuel,8,4,9,Elders of Israel demand a king to be like other nations; LORD tells Samuel they have rejected Him as king
1 Samuel,8,10,18,"Samuel warns of the king’s ways: conscription, taxation, and burdensome rule"
1 Samuel,8,19,22,People refuse to listen; insist on a king; LORD tells Samuel to give them a king
1 Samuel,9,1,2,Saul of Benjamin introduced as tall and handsome
1 Samuel,9,3,14,Saul and servant search for lost donkeys; decide to consult the man of God in the city
1 Samuel,9,15,21,LORD reveals Saul to Samuel as chosen ruler; Samuel honors Saul at the feast
1 Samuel,9,22,27,Samuel brings Saul to the roof; prepares to reveal God’s message privately
1 Samuel,10,1,8,Samuel anoints Saul; gives signs confirming God’s choice and instructions about Gilgal
1 Samuel,10,9,13,"Signs fulfilled; Spirit of God comes on Saul; he prophesies; proverb, 'Is Saul also among the prophets?'"
1 Samuel,10,14,16,Saul returns home; conceals details of kingship from his uncle
1 Samuel,10,17,24,"Samuel gathers Israel at Mizpah; Saul chosen by lot; people shout, 'Long live the king!'"
1 Samuel,10,25,27,"Samuel writes the rights and duties of kingship; some despise Saul, others support him"
1 Samuel,11,1,3,Nahash the Ammonite besieges Jabesh Gilead; harsh terms offered; elders seek help
1 Samuel,11,4,8,News reaches Saul; Spirit of God comes on him; he musters Israel with parts of oxen
1 Samuel,11,9,11,Saul promises deliverance; surprise attack at dawn; Ammonites scattered
1 Samuel,11,12,15,People propose executing those who despised Saul; Saul refuses; kingship renewed at Gilgal with sacrifices and joy
1 Samuel,12,1,5,Samuel’s farewell begins; he testifies to his integrity; people affirm he has not defrauded them
1 Samuel,12,6,15,Samuel recounts the LORD’s saving acts and Israel’s recurring unfaithfulness; shows they have sinned in asking for a king
1 Samuel,12,16,19,Samuel calls on the LORD for thunder and rain as sign; people greatly fear and ask for prayer
1 Samuel,12,20,25,Samuel urges them not to turn aside from following the LORD; promises continued intercession and instruction; warns of consequences of wickedness
Book,Chapter,StartVerse,EndVerse,Description
1 Samuel,13,1,4,Saul’s early reign noted; Jonathan attacks Philistine garrison; Israel becomes odious to Philistines
1 Samuel,13,5,7,Philistines assemble a massive army; Israelites hide in fear; Saul waits at Gilgal
1 Samuel,13,8,14,Saul offers the burnt offering before Samuel arrives; Samuel rebukes him and announces loss of dynasty
1 Samuel,13,15,18,Samuel leaves Gilgal; Saul counts remaining men; Philistine raiding parties go out
1 Samuel,13,19,23,Description of Israel’s lack of weapons and smiths; only Saul and Jonathan have swords
Book,Chapter,StartVerse,EndVerse,Description
